Year,Month,Sector,Issued,Refused,Withdrawn
2020,Jan,J - Information & Communication Activities,361,,
2020,Jan,K - Financial & insurance Activities,73,,
2020,Jan,"C - Manufacture of Computers, Electronics & Optica",6,,
2020,Jan,"A - Agriculture, Forestry & Fishing",240,,
2020,Jan,C - All Other Manufacturing,36,,
2020,Jan,C - Manufacture of Chemicals & Pharmaceuticals,15,,
2020,Jan,"C - Manufacture of Food, Drink & Tobacco",7,,
2020,Jan,C - Manufacture of Medical Devices,5,,
2020,Jan,D - Electricity & Gas & Air Conditioning Supply,6,,
2020,Jan,E - Water Supply - Sewerage Waste Management & Rem,1,,
2020,Jan,F - Construction,84,,
2020,Jan,G - Wholesale & Retail Trade,5,,
2020,Jan,H - Transport & Storage,9,,
2020,Jan,I - Accommodation & Food Services activities,92,,
2020,Jan,"M - All other Professional, Scientific & Technical",5,,
2020,Jan,"M - Professional, Scientific&Technical Activities",5,,
2020,Jan,N - Administrative & Support Service Activities,0,,
2020,Jan,P - Education,14,,
2020,Jan,Q - Health & Social Work Activities,300,,
2020,Jan,"R - Arts , Entertainment and Recreation",21,,
2020,Jan,S - Other Service activities,46,,
2020,Jan,B - Mining & Quarrying,4,,
2020,Jan,L - Real Estate Activities,0,,
2020,Jan,O - Public Administration & Defence,0,,
2020,Jan,T - Domestic- Activities of Households as Employer,0,,
2020,Feb,J - Information & Communication Activities,413,,
2020,Feb,K - Financial & insurance Activities,85,,
2020,Feb,"C - Manufacture of Computers, Electronics & Optica",3,,
2020,Feb,"A - Agriculture, Forestry & Fishing",457,,
2020,Feb,C - All Other Manufacturing,10,,
2020,Feb,C - Manufacture of Chemicals & Pharmaceuticals,15,,
2020,Feb,"C - Manufacture of Food, Drink & Tobacco",4,,
2020,Feb,C - Manufacture of Medical Devices,2,,
2020,Feb,D - Electricity & Gas & Air Conditioning Supply,5,,
2020,Feb,E - Water Supply - Sewerage Waste Management & Rem,1,,
2020,Feb,F - Construction,42,,
2020,Feb,G - Wholesale & Retail Trade,11,,
2020,Feb,H - Transport & Storage,9,,
2020,Feb,I - Accommodation & Food Services activities,75,,
2020,Feb,"M - All other Professional, Scientific & Technical",11,,
2020,Feb,"M - Professional, Scientific&Technical Activities",4,,
2020,Feb,N - Administrative & Support Service Activities,1,,
2020,Feb,P - Education,7,,
2020,Feb,Q - Health & Social Work Activities,204,,
2020,Feb,"R - Arts , Entertainment and Recreation",26,,
2020,Feb,S - Other Service activities,41,,
2020,Feb,B - Mining & Quarrying,1,,
2020,Feb,L - Real Estate Activities,1,,
2020,Feb,O - Public Administration & Defence,0,,
2020,Feb,T - Domestic- Activities of Households as Employer,0,,
2020,Mar,J - Information & Communication Activities,216,,
2020,Mar,K - Financial & insurance Activities,54,,
2020,Mar,"C - Manufacture of Computers, Electronics & Optica",6,,
2020,Mar,"A - Agriculture, Forestry & Fishing",128,,
2020,Mar,C - All Other Manufacturing,11,,
2020,Mar,C - Manufacture of Chemicals & Pharmaceuticals,23,,
2020,Mar,"C - Manufacture of Food, Drink & Tobacco",3,,
2020,Mar,C - Manufacture of Medical Devices,5,,
2020,Mar,D - Electricity & Gas & Air Conditioning Supply,3,,
2020,Mar,E - Water Supply - Sewerage Waste Management & Rem,0,,
2020,Mar,F - Construction,44,,
2020,Mar,G - Wholesale & Retail Trade,5,,
2020,Mar,H - Transport & Storage,12,,
2020,Mar,I - Accommodation & Food Services activities,30,,
2020,Mar,"M - All other Professional, Scientific & Technical",10,,
2020,Mar,"M - Professional, Scientific&Technical Activities",2,,
2020,Mar,N - Administrative & Support Service Activities,1,,
2020,Mar,P - Education,5,,
2020,Mar,Q - Health & Social Work Activities,591,,
2020,Mar,"R - Arts , Entertainment and Recreation",21,,
2020,Mar,S - Other Service activities,50,,
2020,Mar,B - Mining & Quarrying,0,,
2020,Mar,L - Real Estate Activities,0,,
2020,Mar,O - Public Administration & Defence,0,,
2020,Mar,T - Domestic- Activities of Households as Employer,2,,
2020,Apr,J - Information & Communication Activities,516,,
2020,Apr,K - Financial & insurance Activities,94,,
2020,Apr,"C - Manufacture of Computers, Electronics & Optica",10,,
2020,Apr,"A - Agriculture, Forestry & Fishing",153,,
2020,Apr,C - All Other Manufacturing,16,,
2020,Apr,C - Manufacture of Chemicals & Pharmaceuticals,47,,
2020,Apr,"C - Manufacture of Food, Drink & Tobacco",8,,
2020,Apr,C - Manufacture of Medical Devices,5,,
2020,Apr,D - Electricity & Gas & Air Conditioning Supply,7,,
2020,Apr,E - Water Supply - Sewerage Waste Management & Rem,0,,
2020,Apr,F - Construction,65,,
2020,Apr,G - Wholesale & Retail Trade,16,,
2020,Apr,H - Transport & Storage,8,,
2020,Apr,I - Accommodation & Food Services activities,56,,
2020,Apr,"M - All other Professional, Scientific & Technical",13,,
2020,Apr,"M - Professional, Scientific&Technical Activities",4,,
2020,Apr,N - Administrative & Support Service Activities,1,,
2020,Apr,P - Education,10,,
2020,Apr,Q - Health & Social Work Activities,644,,
2020,Apr,"R - Arts , Entertainment and Recreation",18,,
2020,Apr,S - Other Service activities,71,,
2020,Apr,B - Mining & Quarrying,2,,
2020,Apr,L - Real Estate Activities,1,,
2020,Apr,O - Public Administration & Defence,0,,
2020,Apr,T - Domestic- Activities of Households as Employer,0,,
2020,May,J - Information & Communication Activities,473,,
2020,May,K - Financial & insurance Activities,79,,
2020,May,"C - Manufacture of Computers, Electronics & Optica",22,,
2020,May,"A - Agriculture, Forestry & Fishing",47,,
2020,May,C - All Other Manufacturing,24,,
2020,May,C - Manufacture of Chemicals & Pharmaceuticals,31,,
2020,May,"C - Manufacture of Food, Drink & Tobacco",13,,
2020,May,C - Manufacture of Medical Devices,11,,
