Year,County,Issued,Refused,Withdrawn
2014,Westmeath,238.0,2.0,1.0
2014,Wexford,77.0,3.0,2.0
2014,Wicklow,59.0,16.0,2.0
2014,Others,14.0,1.0,1.0
2015,Carlow,5.0,3.0,0.0
2015,Cavan,76.0,2.0,0.0
2015,Clare,64.0,13.0,2.0
2015,Cork,617.0,50.0,14.0
2015,Donegal,186.0,8.0,1.0
2015,Dublin,3942.0,458.0,99.0
2015,Galway,298.0,33.0,6.0
2015,Kerry,105.0,7.0,3.0
2015,Kildare,416.0,39.0,8.0
2015,Kilkenny,83.0,12.0,1.0
2015,Laois,47.0,6.0,2.0
2015,Leitrim,5.0,0.0,0.0
2015,Limerick,258.0,32.0,7.0
2015,Longford,9.0,5.0,0.0
2015,Louth,149.0,14.0,2.0
2015,Mayo,102.0,4.0,2.0
2015,Meath,72.0,28.0,2.0
2015,Monaghan,20.0,8.0,1.0
2015,Offaly,46.0,3.0,2.0
2015,Roscommon,30.0,5.0,0.0
2015,Sligo,93.0,6.0,1.0
2015,Tipperary,101.0,17.0,3.0
2015,Waterford,133.0,12.0,2.0
2015,Westmeath,136.0,8.0,2.0
2015,Wexford,97.0,8.0,0.0
2015,Wicklow,44.0,8.0,2.0
2015,Others,119.0,8.0,4.0
2016,Carlow,14.0,7.0,0.0
2016,Cavan,118.0,7.0,1.0
2016,Clare,72.0,24.0,1.0
2016,Cork,733.0,108.0,16.0
2016,Donegal,197.0,17.0,0.0
2016,Dublin,5310.0,688.0,123.0
2016,Galway,365.0,76.0,10.0
2016,Kerry,128.0,27.0,1.0
2016,Kildare,360.0,37.0,13.0
2016,Kilkenny,102.0,9.0,2.0
2016,Laois,49.0,3.0,3.0
2016,Leitrim,3.0,1.0,0.0
2016,Limerick,428.0,48.0,8.0
2016,Longford,28.0,5.0,0.0
2016,Louth,192.0,48.0,5.0
2016,Mayo,139.0,6.0,3.0
2016,Meath,149.0,45.0,6.0
2016,Monaghan,46.0,3.0,2.0
2016,Offaly,71.0,5.0,0.0
2016,Roscommon,61.0,15.0,1.0
2016,Sligo,114.0,1.0,0.0
2016,Tipperary,152.0,49.0,0.0
2016,Waterford,166.0,12.0,1.0
2016,Westmeath,116.0,26.0,2.0
2016,Wexford,102.0,16.0,0.0
2016,Wicklow,52.0,30.0,3.0
2016,Others,106.0,8.0,5.0
2017,Carlow,25.0,13.0,0.0
2017,Cavan,152.0,12.0,2.0
2017,Clare,73.0,25.0,4.0
2017,Cork,890.0,106.0,34.0
2017,Donegal,181.0,17.0,5.0
2017,Dublin,6755.0,791.0,153.0
2017,Galway,430.0,59.0,17.0
2017,Kerry,162.0,28.0,9.0
2017,Kildare,303.0,41.0,9.0
2017,Kilkenny,148.0,15.0,8.0
2017,Laois,66.0,11.0,2.0
2017,Leitrim,5.0,1.0,1.0
2017,Limerick,375.0,44.0,10.0
2017,Longford,41.0,9.0,1.0
2017,Louth,269.0,43.0,11.0
2017,Mayo,176.0,22.0,3.0
2017,Meath,185.0,59.0,13.0
2017,Monaghan,37.0,6.0,1.0
2017,Offaly,80.0,7.0,7.0
2017,Roscommon,54.0,10.0,4.0
2017,Sligo,126.0,8.0,7.0
2017,Tipperary,170.0,29.0,3.0
2017,Waterford,211.0,32.0,3.0
2017,Westmeath,175.0,14.0,2.0
2017,Wexford,187.0,25.0,7.0
2017,Wicklow,76.0,25.0,2.0
2017,Others,9.0,6.0,1.0
2018,Carlow,18.0,2.0,4.0
2018,Cavan,182.0,8.0,10.0
2018,Clare,90.0,18.0,6.0
2018,Cork,1145.0,123.0,57.0
2018,Donegal,186.0,21.0,18.0
2018,Dublin,7341.0,600.0,281.0
2018,Galway,567.0,58.0,21.0
2018,Kerry,222.0,11.0,9.0
2018,Kildare,375.0,68.0,14.0
2018,Kilkenny,192.0,10.0,10.0
2018,Laois,71.0,6.0,3.0
2018,Leitrim,22.0,2.0,2.0
2018,Limerick,546.0,56.0,15.0
2018,Longford,49.0,14.0,1.0
2018,Louth,419.0,31.0,12.0
2018,Mayo,170.0,16.0,8.0
2018,Meath,170.0,25.0,5.0
2018,Monaghan,103.0,4.0,9.0
2018,Offaly,128.0,14.0,6.0
2018,Roscommon,95.0,15.0,2.0
2018,Sligo,125.0,12.0,2.0
2018,Tipperary,199.0,15.0,12.0
2018,Waterford,524.0,20.0,6.0
2018,Westmeath,171.0,19.0,10.0
2018,Wexford,217.0,37.0,5.0
2018,Wicklow,68.0,32.0,9.0
2018,Others,3.0,10.0,5.0
2019,Carlow,88.0,18.0,3.0
2019,Cavan,299.0,26.0,29.0
2019,Clare,197.0,30.0,6.0
2019,Cork,1191.0,100.0,64.0
2019,Donegal,268.0,12.0,11.0
2019,Dublin,9338.0,616.0,378.0
2019,Galway,623.0,53.0,25.0
2019,Kerry,212.0,23.0,7.0
2019,Kildare,339.0,42.0,26.0
2019,Kilkenny,152.0,10.0,13.0
2019,Laois,88.0,7.0,4.0
2019,Leitrim,15.0,2.0,0.0
2019,Limerick,555.0,47.0,40.0
2019,Longford,87.0,22.0,11.0
2019,Louth,361.0,29.0,24.0
2019,Mayo,199.0,17.0,24.0
2019,Meath,307.0,51.0,23.0
2019,Monaghan,283.0,21.0,29.0
2019,Offaly,152.0,53.0,3.0
2019,Roscommon,85.0,4.0,11.0
2019,Sligo,133.0,12.0,3.0
2019,Tipperary,229.0,34.0,21.0
2019,Waterford,457.0,18.0,22.0
2019,Westmeath,241.0,29.0,11.0
2019,Wexford,383.0,57.0,47.0
2019,Wicklow,100.0,26.0,11.0
2019,Others,1.0,5.0,2.0
2020,Carlow,62.0,3.0,3.0
2020,Cavan,316.0,44.0,10.0
2020,Clare,136.0,30.0,11.0
2020,Cork,1243.0,91.0,44.0
2020,Donegal,205.0,11.0,10.0
2020,Dublin,8520.0,461.0,321.0
2020,Galway,590.0,50.0,31.0
2020,Kerry,235.0,15.0,10.0
2020,Kildare,572.0,31.0,20.0
2020,Kilkenny,229.0,6.0,9.0
2020,Laois,82.0,3.0,
2020,Leitrim,23.0,3.0,2.0
2020,Limerick,670.0,39.0,38.0
2020,Longford,86.0,1.0,3.0
2020,Louth,418.0,12.0,8.0
2020,Mayo,245.0,14.0,13.0
2020,Meath,321.0,15.0,31.0
2020,Monaghan,110.0,12.0,2.0
2020,Offaly,299.0,7.0,5.0
2020,Roscommon,80.0,6.0,1.0
2020,Sligo,147.0,9.0,3.0
2020,Tipperary,224.0,17.0,8.0
2020,Waterford,725.0,17.0,25.0
2020,Westmeath,216.0,19.0,9.0
2020,Wexford,410.0,10.0,23.0
2020,Wicklow,145.0,20.0,16.0
2020,Others,110.0,10.0,4.0
2021,Carlow,92.0,12.0,6.0
2021,Cavan,235.0,16.0,16.0
2021,Clare,138.0,12.0,4.0
2021,Cork,1232.0,80.0,50.0
2021,Donegal,320.0,15.0,10.0
2021,Dublin,8636.0,419.0,372.0
2021,Galway,678.0,62.0,37.0
2021,Kerry,232.0,5.0,12.0
2021,Kildare,528.0,32.0,46.0
2021,Kilkenny,217.0,13.0,8.0
2021,Laois,78.0,4.0,3.0
2021,Leitrim,71.0,,2.0
2021,Limerick,908.0,50.0,37.0
2021,Longford,90.0,17.0,5.0
2021,Louth,308.0,22.0,13.0
2021,Mayo,210.0,13.0,6.0
2021,Meath,301.0,49.0,23.0
2021,Monaghan,126.0,7.0,2.0
2021,Offaly,170.0,8.0,5.0
2021,Roscommon,93.0,6.0,3.0
2021,Sligo,140.0,4.0,2.0
2021,Tipperary,276.0,30.0,16.0
2021,Waterford,408.0,24.0,6.0
2021,Westmeath,246.0,12.0,17.0
2021,Wexford,315.0,22.0,16.0
2021,Wicklow,168.0,20.0,15.0
2021,Others,59.0,3.0,4.0
2022,Carlow,242.0,61.0,4.0
2022,Cavan,667.0,43.0,22.0
2022,Clare,332.0,62.0,11.0
2022,Cork,3047.0,301.0,125.0
2022,Donegal,430.0,57.0,20.0
2022,Dublin,21097.0,1574.0,585.0
2022,Galway,1440.0,128.0,63.0
2022,Kerry,423.0,44.0,27.0
2022,Kildare,2234.0,219.0,191.0
2022,Kilkenny,398.0,44.0,16.0
2022,Laois,177.0,31.0,8.0
2022,Leitrim,64.0,8.0,1.0
2022,Limerick,1525.0,190.0,105.0
2022,Longford,146.0,9.0,1.0
2022,Louth,642.0,57.0,84.0
2022,Mayo,569.0,51.0,20.0
2022,Meath,1064.0,187.0,53.0
2022,Monaghan,684.0,12.0,44.0
2022,Offaly,575.0,22.0,15.0
2022,Roscommon,236.0,24.0,8.0
2022,Sligo,281.0,13.0,5.0
2022,Tipperary,542.0,80.0,77.0
2022,Waterford,1303.0,45.0,69.0
2022,Westmeath,571.0,49.0,28.0
2022,Wexford,859.0,79.0,108.0
2022,Wicklow,348.0,72.0,12.0
2022,Others,59.0,14.0,3.0
2023,Carlow,161.0,7.0,3.0
2023,Cavan,312.0,18.0,5.0
2023,Clare,496.0,30.0,6.0
2023,Cork,2613.0,123.0,49.0
2023,Donegal,387.0,19.0,14.0
2023,Dublin,15401.0,752.0,265.0
2023,Galway,1387.0,85.0,35.0
2023,Kerry,384.0,26.0,15.0
2023,Kildare,1734.0,53.0,29.0
2023,Kilkenny,491.0,24.0,10.0
2023,Laois,213.0,14.0,2.0
2023,Leitrim,54.0,5.0,2.0
2023,Limerick,1600.0,84.0,34.0
2023,Longford,120.0,13.0,2.0
2023,Louth,649.0,20.0,6.0
2023,Mayo,378.0,19.0,10.0
2023,Meath,1137.0,53.0,18.0
2023,Monaghan,240.0,34.0,40.0
2023,Offaly,328.0,10.0,7.0
2023,Roscommon,138.0,8.0,2.0
2023,Sligo,220.0,20.0,4.0
2023,Tipperary,531.0,33.0,17.0
2023,Waterford,660.0,16.0,10.0
2023,Westmeath,391.0,21.0,10.0
2023,Wexford,606.0,31.0,25.0
2023,Wicklow,275.0,47.0,5.0
2023,Others,75.0,10.0,16.0
2024,Carlow,233.0,27.0,11.0
2024,Cavan,573.0,27.0,9.0
2024,Clare,657.0,63.0,15.0
2024,Cork,3293.0,195.0,91.0
2024,Donegal,428.0,27.0,26.0
2024,Dublin,19141.0,967.0,507.0
2024,Galway,1269.0,85.0,25.0
2024,Kerry,542.0,29.0,10.0
2024,Kildare,2342.0,122.0,57.0
2024,Kilkenny,433.0,30.0,16.0
2024,Laois,193.0,14.0,16.0
2024,Leitrim,67.0,8.0,2.0
2024,Limerick,1905.0,86.0,57.0
2024,Longford,147.0,17.0,5.0
2024,Louth,804.0,33.0,16.0
2024,Mayo,504.0,36.0,11.0
2024,Meath,1511.0,111.0,40.0
2024,Monaghan,541.0,20.0,9.0
2024,Offaly,484.0,22.0,24.0
2024,Roscommon,255.0,10.0,6.0
2024,Sligo,244.0,31.0,17.0
2024,Tipperary,703.0,45.0,13.0
2024,Waterford,1297.0,298.0,24.0
2024,Westmeath,514.0,40.0,16.0
2024,Wexford,868.0,75.0,27.0
2024,Wicklow,372.0,25.0,11.0
2024,Others,70.0,13.0,3.0
2025,Carlow,181.0,24.0,0.0
2025,Cavan,501.0,56.0,0.0
2025,Clare,538.0,87.0,0.0
2025,Cork,2973.0,322.0,0.0
2025,Donegal,488.0,75.0,0.0
2025,Dublin,14627.0,1395.0,0.0
2025,Galway,1104.0,121.0,0.0
2025,Kerry,527.0,61.0,0.0
2025,Kildare,1194.0,202.0,0.0
2025,Kilkenny,580.0,55.0,0.0
2025,Laois,229.0,48.0,0.0
2025,Leitrim,99.0,11.0,0.0
2025,Limerick,1543.0,197.0,0.0
2025,Longford,147.0,18.0,0.0
2025,Louth,511.0,54.0,0.0
2025,Mayo,383.0,45.0,0.0
2025,Meath,1252.0,189.0,0.0
2025,Monaghan,449.0,46.0,0.0
2025,Offaly,358.0,40.0,0.0
2025,Roscommon,188.0,28.0,0.0
2025,Sligo,218.0,52.0,0.0
2025,Tipperary,650.0,66.0,0.0
2025,Waterford,695.0,67.0,0.0
2025,Westmeath,457.0,68.0,0.0
2025,Wexford,762.0,55.0,0.0
2025,Wicklow,390.0,49.0,0.0
2025,Others,,1.0,0.0
