Year,Month,Sector,Issued,Refused,Withdrawn
2019,Jan,Agriculture & Fisheries,70,9,5
2019,Jan,Catering,47,12,0
2019,Jan,Education,13,2,2
2019,Jan,Entertainment,8,0,0
2019,Jan,Exchange Agreements,1,0,0
2019,Jan,Industry,254,22,3
2019,Jan,Medical & Nursing,334,14,17
2019,Jan,None specified,24,20,11
2019,Jan,Service Industry,803,48,15
2019,Jan,Sport,4,0,0
2019,Feb,Agriculture & Fisheries,40,18,9
2019,Feb,Catering,36,19,1
2019,Feb,Education,13,0,0
2019,Feb,Entertainment,3,0,2
2019,Feb,Industry,191,7,5
2019,Feb,Medical & Nursing,232,13,11
2019,Feb,None specified,28,20,5
2019,Feb,Service Industry,654,68,19
2019,Feb,Sport,5,0,0
2019,Mar,Agriculture & Fisheries,158,6,5
2019,Mar,Catering,51,18,3
2019,Mar,Education,3,0,2
2019,Mar,Entertainment,7,0,0
2019,Mar,Exchange Agreements,2,0,0
2019,Mar,Industry,153,15,10
2019,Mar,Medical & Nursing,150,15,26
2019,Mar,None specified,27,16,14
2019,Mar,Service Industry,601,77,74
2019,Mar,Sport,4,0,0
2019,Apr,Agriculture & Fisheries,114,2,1
2019,Apr,Catering,37,12,6
2019,Apr,Domestic,0,1,0
2019,Apr,Education,5,2,3
2019,Apr,Entertainment,10,0,0
2019,Apr,Industry,154,12,9
2019,Apr,Medical & Nursing,186,6,22
2019,Apr,None specified,22,12,9
2019,Apr,Service Industry,583,29,32
2019,Apr,Sport,3,0,0
2019,May,Agriculture & Fisheries,60,11,2
2019,May,Catering,46,15,2
2019,May,Education,8,0,0
2019,May,Entertainment,10,0,0
2019,May,Industry,145,14,8
2019,May,Medical & Nursing,510,7,26
2019,May,None specified,26,5,15
2019,May,Service Industry,550,48,26
2019,May,Sport,5,0,0
2019,Jun,Agriculture & Fisheries,51,11,23
2019,Jun,Catering,17,4,4
2019,Jun,Education,6,4,1
2019,Jun,Entertainment,8,1,0
2019,Jun,Industry,153,5,4
2019,Jun,Medical & Nursing,875,12,40
2019,Jun,None specified,14,9,1
2019,Jun,Service Industry,460,30,18
2019,Jun,Sport,4,0,0
2019,Jul,Agriculture & Fisheries,94,5,2
2019,Jul,Catering,50,8,1
2019,Jul,Education,18,0,1
2019,Jul,Entertainment,9,0,0
2019,Jul,Exchange Agreements,3,0,0
2019,Jul,Industry,219,11,3
2019,Jul,Medical & Nursing,513,13,20
2019,Jul,None specified,29,14,6
2019,Jul,Service Industry,718,57,36
2019,Jul,Sport,8,0,1
2019,Aug,Agriculture & Fisheries,104,6,15
2019,Aug,Catering,44,11,2
2019,Aug,Education,15,2,1
2019,Aug,Entertainment,20,0,0
2019,Aug,Exchange Agreements,2,0,0
2019,Aug,Industry,256,16,14
2019,Aug,Medical & Nursing,255,6,13
2019,Aug,None specified,22,10,4
2019,Aug,Service Industry,812,58,18
2019,Aug,Sport,3,0,0
2019,Sep,Agriculture & Fisheries,74,41,25
2019,Sep,Catering,49,17,2
2019,Sep,Domestic,1,0,0
2019,Sep,Education,11,5,2
2019,Sep,Entertainment,13,2,1
2019,Sep,Industry,206,25,4
2019,Sep,Medical & Nursing,234,9,9
2019,Sep,None specified,23,13,6
2019,Sep,Service Industry,670,74,27
2019,Sep,Sport,4,0,0
2019,Oct,Agriculture & Fisheries,157,6,11
2019,Oct,Catering,60,17,2
2019,Oct,Domestic,0,1,0
2019,Oct,Education,16,3,0
2019,Oct,Entertainment,29,1,1
2019,Oct,Industry,236,29,12
2019,Oct,Medical & Nursing,265,14,3
2019,Oct,None specified,33,17,3
2019,Oct,Service Industry,761,56,22
2019,Oct,Sport,5,3,0
2019,Nov,Agriculture & Fisheries,72,4,4
2019,Nov,Catering,45,11,0
2019,Nov,Domestic,0,1,0
2019,Nov,Education,13,5,0
2019,Nov,Entertainment,11,0,0
2019,Nov,Exchange Agreements,6,0,0
2019,Nov,Industry,211,20,1
2019,Nov,Medical & Nursing,375,10,11
2019,Nov,None specified,34,12,1
2019,Nov,Service Industry,598,67,19
2019,Nov,Sport,2,1,0
2019,Dec,Agriculture & Fisheries,15,2,1
2019,Dec,Catering,17,7,3
2019,Dec,Education,7,1,0
2019,Dec,Entertainment,7,1,1
2019,Dec,Exchange Agreements,1,0,0
2019,Dec,Industry,97,13,5
2019,Dec,Medical & Nursing,512,4,25
2019,Dec,None specified,0,0,4
2019,Dec,Service Industry,344,32,17
2019,Dec,Sport,2,2,0
