Year,Country,Issued,Refused,Withdrawn
2019,Afghanistan,6,0,0
2019,Albania,20,7,2
2019,Algeria,10,1,2
2019,Angola,1,0,0
2019,Argentina,61,8,2
2019,Armenia,3,0,0
2019,Australia,150,7,10
2019,Azerbaijan,6,0,0
2019,Bahamas,1,0,0
2019,Bahrain,4,0,0
2019,Bangladesh,70,21,4
2019,Barbados,1,0,0
2019,Belarus,19,3,1
2019,Bolivia,5,2,0
2019,Bosnia and Herzegovina,8,3,0
2019,Botswana,8,3,0
2019,Brazil,1565,326,159
2019,Brunei,1,0,0
2019,Bulgaria,1,0,0
2019,Cambodia,1,0,0
2019,Cameroon,5,1,1
2019,Canada,234,12,6
2019,Chile,22,4,1
2019,China,723,97,21
2019,Colombia,30,1,0
2019,Congo,1,0,0
2019,Costa Rica,22,3,1
2019,Cuba,5,0,0
2019,Cyprus,1,0,0
2019,DR Congo,4,1,0
2019,Dominica,1,0,0
2019,Dominican Republic,14,0,0
2019,Ecuador,4,0,0
2019,Egypt,363,11,10
2019,El Salvador,5,1,0
2019,Eritrea,1,0,0
2019,Eswatini,3,0,0
2019,Ethiopia,10,1,0
2019,Fiji,3,0,0
2019,Georgia,8,7,0
2019,Ghana,17,1,0
2019,Guatemala,2,0,0
2019,Guyana,2,0,0
2019,Haiti,3,0,0
2019,Honduras,2,0,0
2019,India,5373,256,259
2019,Indonesia,38,5,2
2019,Iran,47,3,1
2019,Iraq,43,1,2
2019,Ireland,27,2,2
2019,Israel,87,1,2
2019,Jamaica,3,0,0
2019,Japan,136,5,3
2019,Jordan,47,3,1
2019,Kazakhstan,18,0,0
2019,Kenya,27,3,1
2019,Kyrgyzstan,2,0,0
2019,Latvia,1,0,0
2019,Lebanon,39,1,0
2019,Lesotho,1,0,0
2019,Libya,33,0,1
2019,Malawi,8,7,1
2019,Malaysia,386,34,21
2019,Mali,1,0,0
2019,Mauritius,44,4,4
2019,Mexico,100,20,3
2019,Moldova,9,3,1
2019,Mongolia,1,0,0
2019,Montenegro,3,0,0
2019,Morocco,29,5,0
2019,Myanmar,8,1,0
2019,Namibia,5,0,0
2019,Nepal,81,17,6
2019,New Zealand,75,10,6
2019,Nicaragua,2,0,0
2019,Niger,2,0,0
2019,Nigeria,260,20,17
2019,North Macedonia,9,0,0
2019,Oman,6,1,0
2019,Pakistan,983,60,40
2019,Panama,3,1,1
2019,Paraguay,2,0,0
2019,Peru,8,0,0
2019,Philippines,783,53,41
2019,Russia,263,11,10
2019,Saint Kitts & Nevis,1,0,0
2019,San Marino,1,0,0
2019,Saudi Arabia,16,1,1
2019,Senegal,2,0,0
2019,Serbia,105,7,4
2019,Singapore,32,2,1
2019,Somalia,5,0,0
2019,South Africa,659,107,34
2019,South Korea,52,3,3
2019,Sri Lanka,67,12,3
2019,State of Palestine,15,1,0
2019,Sudan,625,5,23
2019,Syria,19,1,3
2019,Tanzania,3,0,0
2019,Thailand,232,28,25
2019,Togo,1,0,0
2019,Trinidad and Tobago,23,3,1
2019,Tunisia,14,2,1
2019,Turkey,260,11,14
2019,Uganda,15,1,0
2019,Ukraine,479,39,37
2019,United Kingdom,1,0,0
2019,United States,1040,54,35
2019,Uruguay,13,4,0
2019,Uzbekistan,1,0,0
2019,Venezuela,50,13,8
2019,Vietnam,98,13,3
2019,Yemen,6,0,1
2019,Zambia,6,1,0
2019,Zimbabwe,123,8,6
