Year,Country,Issued,Refused,Withdrawn
2023,Afghanistan,11.0,3.0,1.0
2023,Albania,30.0,5.0,1.0
2023,Algeria,17.0,3.0,0.0
2023,Angola,1.0,0.0,0.0
2023,Argentina,82.0,11.0,1.0
2023,Armenia,6.0,0.0,0.0
2023,Australia,114.0,7.0,3.0
2023,Azerbaijan,4.0,0.0,0.0
2023,Bahamas,2.0,1.0,0.0
2023,Bahrain,2.0,0.0,0.0
2023,Bangladesh,158.0,11.0,5.0
2023,Barbados,3.0,0.0,0.0
2023,Belarus,39.0,0.0,0.0
2023,Belize,9.0,3.0,0.0
2023,Bolivia,67.0,6.0,0.0
2023,Bosnia and Herzegovina,9.0,0.0,0.0
2023,Botswana,54.0,5.0,1.0
2023,Brazil,2632.0,253.0,40.0
2023,Brunei,11.0,0.0,1.0
2023,Burkina Faso,1.0,0.0,0.0
2023,Burundi,1.0,0.0,0.0
2023,Cambodia,1.0,1.0,0.0
2023,Cameroon,51.0,0.0,0.0
2023,Canada,226.0,9.0,10.0
2023,Chile,100.0,17.0,2.0
2023,China,1647.0,70.0,15.0
2023,Colombia,76.0,3.0,0.0
2023,Congo,6.0,1.0,0.0
2023,Costa Rica,42.0,2.0,1.0
2023,Cuba,2.0,0.0,0.0
2023,Côte d'Ivoire,1.0,0.0,0.0
2023,DR Congo,12.0,0.0,0.0
2023,Dominica,1.0,0.0,0.0
2023,Dominican Republic,4.0,0.0,0.0
2023,Ecuador,15.0,0.0,0.0
2023,Egypt,234.0,2.0,2.0
2023,El Salvador,26.0,4.0,0.0
2023,Eritrea,0.0,1.0,0.0
2023,Eswatini,9.0,0.0,0.0
2023,Ethiopia,7.0,0.0,0.0
2023,Fiji,3.0,0.0,0.0
2023,Gabon,1.0,1.0,0.0
2023,Gambia,6.0,0.0,0.0
2023,Georgia,11.0,1.0,0.0
2023,Ghana,264.0,10.0,2.0
2023,Grenada,1.0,0.0,0.0
2023,Guatemala,7.0,1.0,0.0
2023,Guinea,1.0,0.0,0.0
2023,Guyana,2.0,0.0,0.0
2023,Honduras,27.0,3.0,0.0
2023,India,11893.0,390.0,194.0
2023,Indonesia,66.0,2.0,1.0
2023,Iran,85.0,3.0,0.0
2023,Iraq,12.0,1.0,2.0
2023,Israel,269.0,4.0,16.0
2023,Jamaica,3.0,7.0,0.0
2023,Japan,235.0,7.0,2.0
2023,Jordan,57.0,0.0,3.0
2023,Kazakhstan,21.0,1.0,1.0
2023,Kenya,120.0,6.0,3.0
2023,Kuwait,6.0,0.0,0.0
2023,Kyrgyzstan,10.0,0.0,1.0
2023,Laos,0.0,0.0,1.0
2023,Lebanon,63.0,2.0,3.0
2023,Lesotho,14.0,0.0,0.0
2023,Libya,12.0,0.0,1.0
2023,Madagascar,1.0,0.0,0.0
2023,Malawi,15.0,1.0,0.0
2023,Malaysia,598.0,30.0,9.0
2023,Maldives,1.0,0.0,0.0
2023,Malta,1.0,0.0,0.0
2023,Mauritius,44.0,8.0,1.0
2023,Mexico,332.0,41.0,5.0
2023,Moldova,28.0,1.0,1.0
2023,Mongolia,53.0,7.0,0.0
2023,Montenegro,3.0,0.0,1.0
2023,Morocco,83.0,6.0,2.0
2023,Mozambique,1.0,0.0,0.0
2023,Myanmar,16.0,0.0,0.0
2023,Namibia,2.0,0.0,0.0
2023,Nepal,228.0,14.0,8.0
2023,New Zealand,52.0,4.0,0.0
2023,Nicaragua,3.0,2.0,0.0
2023,Nigeria,1005.0,83.0,19.0
2023,North Korea,1.0,0.0,0.0
2023,North Macedonia,8.0,1.0,0.0
2023,Oman,18.0,0.0,1.0
2023,Pakistan,1533.0,93.0,48.0
2023,Panama,8.0,2.0,0.0
2023,Paraguay,14.0,0.0,1.0
2023,Peru,10.0,0.0,0.0
2023,Philippines,2634.0,85.0,36.0
2023,Russia,224.0,8.0,2.0
2023,Rwanda,3.0,0.0,0.0
2023,Saint Kitts & Nevis,2.0,0.0,0.0
2023,Saudi Arabia,30.0,1.0,1.0
2023,Senegal,3.0,1.0,0.0
2023,Serbia,32.0,5.0,1.0
2023,Seychelles,3.0,2.0,0.0
2023,Sierra Leone,1.0,0.0,0.0
2023,Singapore,74.0,2.0,3.0
2023,Somalia,1.0,0.0,0.0
2023,South Africa,1346.0,91.0,53.0
2023,South Korea,106.0,4.0,1.0
2023,Sri Lanka,468.0,37.0,14.0
2023,State of Palestine,14.0,0.0,0.0
2023,Sudan,303.0,9.0,38.0
2023,Syria,23.0,0.0,2.0
2023,Tanzania,15.0,3.0,1.0
2023,Thailand,216.0,39.0,10.0
2023,Togo,2.0,0.0,0.0
2023,Trinidad and Tobago,18.0,0.0,1.0
2023,Tunisia,47.0,2.0,0.0
2023,Turkey,429.0,29.0,5.0
2023,Turkmenistan,1.0,0.0,0.0
2023,Uganda,40.0,0.0,1.0
2023,Ukraine,166.0,6.0,3.0
2023,United Arab Emirates,3.0,1.0,0.0
2023,United Kingdom,1.0,0.0,0.0
2023,United States,1020.0,33.0,11.0
2023,Uruguay,15.0,7.0,0.0
2023,Uzbekistan,9.0,0.0,0.0
2023,Vanuatu,5.0,0.0,0.0
2023,Venezuela,33.0,1.0,0.0
2023,Vietnam,130.0,18.0,38.0
2023,Zambia,25.0,3.0,2.0
2023,Zimbabwe,579.0,38.0,9.0
