Year,Country,Issued,Refused,Withdrawn
2011,Albania,2,2,0
2011,Algeria,5,0,0
2011,Argentina,9,9,1
2011,Armenia,3,1,0
2011,Australia,59,7,1
2011,Azerbaijan,2,0,0
2011,Bahrain,1,0,0
2011,Bangladesh,41,36,1
2011,Barbados,2,0,0
2011,Belarus,22,3,0
2011,Bosnia and Herzegovina,3,0,0
2011,Botswana,10,0,0
2011,Brazil,163,71,6
2011,Bulgaria,31,6,1
2011,Burkina Faso,1,0,0
2011,Cameroon,3,0,0
2011,Canada,90,10,0
2011,Chile,2,0,0
2011,China,259,111,4
2011,Colombia,7,0,0
2011,Congo,1,1,0
2011,Costa Rica,2,1,0
2011,Croatia,17,3,0
2011,Egypt,20,3,2
2011,El Salvador,1,0,0
2011,Ethiopia,3,0,0
2011,Fiji,0,1,0
2011,Georgia,2,0,0
2011,Ghana,3,1,0
2011,Guyana,2,0,0
2011,Honduras,1,0,0
2011,India,1646,163,72
2011,Indonesia,4,1,0
2011,Iran,7,3,0
2011,Iraq,1,0,0
2011,Israel,39,2,0
2011,Jamaica,3,2,0
2011,Japan,36,2,3
2011,Jordan,9,0,0
2011,Kazakhstan,1,0,0
2011,Kenya,8,2,0
2011,Kuwait,9,0,0
2011,Kyrgyzstan,1,0,0
2011,Latvia,1,1,0
2011,Lebanon,7,1,1
2011,Libya,2,1,0
2011,Malawi,1,2,0
2011,Malaysia,182,27,3
2011,Mauritania,0,4,0
2011,Mauritius,30,25,0
2011,Mexico,11,1,0
2011,Moldova,46,15,2
2011,Mongolia,3,6,0
2011,Morocco,14,5,1
2011,Myanmar,4,1,0
2011,Nepal,23,5,0
2011,New Zealand,48,4,4
2011,Nigeria,47,15,2
2011,North Macedonia,2,0,0
2011,Oman,2,0,0
2011,Others,20,9,3
2011,Pakistan,113,57,11
2011,Paraguay,2,0,0
2011,Philippines,753,119,19
2011,Romania,327,118,21
2011,Russia,67,7,0
2011,Samoa,1,0,0
2011,Saudi Arabia,1,0,0
2011,Serbia,21,2,1
2011,Singapore,12,1,0
2011,South Africa,122,28,9
2011,South Korea,22,3,0
2011,Sri Lanka,17,4,1
2011,St. Vincent & Grenadines,1,0,0
2011,State of Palestine,0,1,0
2011,Sudan,1,0,0
2011,Syria,5,1,1
2011,Tanzania,3,0,0
2011,Thailand,57,19,0
2011,Tonga,1,0,0
2011,Trinidad and Tobago,4,1,0
2011,Tunisia,2,0,0
2011,Turkey,60,3,0
2011,Uganda,2,0,0
2011,Ukraine,100,41,16
2011,United Arab Emirates,1,0,0
2011,United Kingdom,2,0,0
2011,United States,496,31,12
2011,Venezuela,6,3,0
2011,Vietnam,4,0,0
2011,Zambia,4,0,0
2011,Zimbabwe,19,5,3
