Year,Month,Sector,Issued,Refused,Withdrawn
2024,Jan,"A - Agriculture, Forestry & Fishing",252.0,,
2024,Jan,B - Mining & Quarrying,2.0,,
2024,Jan,C - All Other Manufacturing,58.0,,
2024,Jan,C - Manufacture of Chemicals & Pharmaceuticals,69.0,,
2024,Jan,"C - Manufacture of Computers, Electronics & Optica",47.0,,
2024,Jan,"C - Manufacture of Food, Drink & Tobacco",41.0,,
2024,Jan,C - Manufacture of Medical Devices,36.0,,
2024,Jan,D - Electricity & Gas & Air Conditioning Supply,41.0,,
2024,Jan,E - Water Supply - Sewerage Waste Management & Rem,10.0,,
2024,Jan,F - Construction,96.0,,
2024,Jan,G - Wholesale & Retail Trade,33.0,,
2024,Jan,H - Transport & Storage,78.0,,
2024,Jan,I - Accommodation & Food Services activities,226.0,,
2024,Jan,J - Information & Communication Activities,592.0,,
2024,Jan,K - Financial & insurance Activities,162.0,,
2024,Jan,L - Real Estate Activities,4.0,,
2024,Jan,"M - All other Professional, Scientific & Technical",73.0,,
2024,Jan,"M - Professional, Scientific&Technical Activities",13.0,,
2024,Jan,N - Administrative & Support Service Activities,5.0,,
2024,Jan,O - Public Administration & Defence,1.0,,
2024,Jan,P - Education,22.0,,
2024,Jan,Q - Health & Social Work Activities,1431.0,,
2024,Jan,"R - Arts , Entertainment and Recreation",18.0,,
2024,Jan,S - Other Service activities,113.0,,
2024,Jan,T - Domestic- Activities of Households as Employer,,,
2024,Feb,"A - Agriculture, Forestry & Fishing",591.0,,
2024,Feb,B - Mining & Quarrying,2.0,,
2024,Feb,C - All Other Manufacturing,107.0,,
2024,Feb,C - Manufacture of Chemicals & Pharmaceuticals,56.0,,
2024,Feb,"C - Manufacture of Computers, Electronics & Optica",50.0,,
2024,Feb,"C - Manufacture of Food, Drink & Tobacco",47.0,,
2024,Feb,C - Manufacture of Medical Devices,23.0,,
2024,Feb,D - Electricity & Gas & Air Conditioning Supply,34.0,,
2024,Feb,E - Water Supply - Sewerage Waste Management & Rem,13.0,,
2024,Feb,F - Construction,87.0,,
2024,Feb,G - Wholesale & Retail Trade,43.0,,
2024,Feb,H - Transport & Storage,68.0,,
2024,Feb,I - Accommodation & Food Services activities,279.0,,
2024,Feb,J - Information & Communication Activities,511.0,,
2024,Feb,K - Financial & insurance Activities,149.0,,
2024,Feb,L - Real Estate Activities,2.0,,
2024,Feb,"M - All other Professional, Scientific & Technical",76.0,,
2024,Feb,"M - Professional, Scientific&Technical Activities",17.0,,
2024,Feb,N - Administrative & Support Service Activities,10.0,,
2024,Feb,O - Public Administration & Defence,2.0,,
