Year,Country,Issued,Refused,Withdrawn
2025,Afghanistan,6.0,5.0,0
2025,Albania,21.0,8.0,0
2025,Algeria,29.0,8.0,0
2025,Angola,1.0,0.0,0
2025,Argentina,98.0,21.0,0
2025,Armenia,4.0,0.0,0
2025,Australia,120.0,9.0,0
2025,Azerbaijan,5.0,0.0,0
2025,Bahamas,2.0,1.0,0
2025,Bahrain,6.0,0.0,0
2025,Bangladesh,203.0,37.0,0
2025,Belarus,18.0,2.0,0
2025,Belize,2.0,0.0,0
2025,Benin,1.0,0.0,0
2025,Bhutan,0.0,1.0,0
2025,Bolivia,136.0,27.0,0
2025,Bosnia and Herzegovina,2.0,0.0,0
2025,Botswana,130.0,29.0,0
2025,Brazil,3381.0,522.0,0
2025,Brunei,3.0,0.0,0
2025,Burundi,1.0,0.0,0
2025,Cambodia,1.0,0.0,0
2025,Cameroon,20.0,7.0,0
2025,Canada,232.0,19.0,0
2025,Chad,1.0,0.0,0
2025,Chile,185.0,36.0,0
2025,China,2030.0,217.0,0
2025,Colombia,121.0,15.0,0
2025,Congo,2.0,0.0,0
2025,Costa Rica,77.0,9.0,0
2025,Cuba,9.0,0.0,0
2025,Côte d'Ivoire,1.0,0.0,0
2025,DR Congo,10.0,0.0,0
2025,Dominica,2.0,0.0,0
2025,Dominican Republic,1.0,0.0,0
2025,Ecuador,8.0,2.0,0
2025,Egypt,206.0,20.0,0
2025,El Salvador,37.0,1.0,0
2025,Eritrea,2.0,0.0,0
2025,Eswatini,6.0,1.0,0
2025,Ethiopia,13.0,0.0,0
2025,Fiji,2.0,0.0,0
2025,Gambia,0.0,2.0,0
2025,Georgia,24.0,8.0,0
2025,Ghana,153.0,29.0,0
2025,Grenada,4.0,1.0,0
2025,Guatemala,19.0,3.0,0
2025,Guinea,1.0,0.0,0
2025,Guyana,2.0,0.0,0
2025,Honduras,23.0,3.0,0
2025,India,9947.0,807.0,0
2025,Indonesia,43.0,11.0,0
2025,Iran,87.0,1.0,0
2025,Iraq,12.0,0.0,0
2025,Ireland,6.0,1.0,0
2025,Israel,156.0,6.0,0
2025,Jamaica,4.0,0.0,0
2025,Japan,123.0,5.0,0
2025,Jordan,43.0,1.0,0
2025,Kazakhstan,31.0,0.0,0
2025,Kenya,172.0,21.0,0
2025,Kuwait,3.0,0.0,0
2025,Kyrgyzstan,19.0,0.0,0
2025,Lebanon,44.0,1.0,0
2025,Lesotho,9.0,3.0,0
2025,Libya,5.0,1.0,0
2025,Malawi,22.0,1.0,0
2025,Malaysia,503.0,45.0,0
2025,Maldives,2.0,0.0,0
2025,Mauritius,25.0,1.0,0
2025,Mexico,392.0,61.0,0
2025,Moldova,22.0,7.0,0
2025,Mongolia,110.0,25.0,0
2025,Morocco,90.0,12.0,0
2025,Mozambique,5.0,0.0,0
2025,Myanmar,20.0,1.0,0
2025,Namibia,6.0,1.0,0
2025,Nepal,425.0,58.0,0
2025,New Zealand,75.0,12.0,0
2025,Nicaragua,8.0,2.0,0
2025,Nigeria,726.0,156.0,0
2025,No Country Entered,0.0,2.0,0
2025,North Macedonia,4.0,0.0,0
2025,Oman,10.0,0.0,0
2025,Pakistan,1453.0,186.0,0
2025,Panama,21.0,4.0,0
2025,Paraguay,23.0,2.0,0
2025,Peru,20.0,0.0,0
2025,Philippines,3398.0,335.0,0
2025,Russia,139.0,10.0,0
2025,Rwanda,4.0,0.0,0
2025,Saint Kitts & Nevis,12.0,1.0,0
2025,Saudi Arabia,11.0,0.0,0
2025,Senegal,3.0,0.0,0
2025,Serbia,48.0,7.0,0
2025,Seychelles,7.0,1.0,0
2025,Sierra Leone,3.0,1.0,0
2025,Singapore,35.0,4.0,0
2025,Somalia,1.0,0.0,0
2025,South Africa,1240.0,209.0,0
2025,South Korea,87.0,7.0,0
2025,Sri Lanka,631.0,68.0,0
2025,State of Palestine,25.0,2.0,0
2025,Sudan,185.0,3.0,0
2025,Syria,14.0,1.0,0
2025,Tajikistan,11.0,0.0,0
2025,Tanzania,17.0,0.0,0
2025,Thailand,434.0,26.0,0
2025,Togo,1.0,0.0,0
2025,Trinidad and Tobago,21.0,0.0,0
2025,Tunisia,38.0,5.0,0
2025,Turkey,332.0,21.0,0
2025,Turkmenistan,1.0,0.0,0
2025,Uganda,68.0,7.0,0
2025,Ukraine,185.0,6.0,0
2025,United Arab Emirates,1.0,0.0,0
2025,United Kingdom,2.0,1.0,0
2025,United States,1040.0,80.0,0
2025,Uruguay,14.0,7.0,0
2025,Uzbekistan,23.0,0.0,0
2025,Vanuatu,3.0,1.0,0
2025,Venezuela,20.0,2.0,0
2025,Vietnam,110.0,9.0,0
2025,Yemen,5.0,0.0,0
2025,Zambia,17.0,3.0,0
2025,Zimbabwe,831.0,138.0,0
