id_country,Year,Country,Issued,Refused,Withdrawn
2012Albania,2012,Albania,2,1,0
2012Algeria,2012,Algeria,2,1,0
2012Argentina,2012,Argentina,15,4,0
2012Armenia,2012,Armenia,2,0,0
2012Australia,2012,Australia,59,4,1
2012Azerbaijan,2012,Azerbaijan,2,0,0
2012Bahrain,2012,Bahrain,1,0,0
2012Bangladesh,2012,Bangladesh,25,23,3
2012Barbados,2012,Barbados,0,1,0
2012Belarus,2012,Belarus,10,3,0
2012Bolivia,2012,Bolivia,1,3,0
2012Bosnia_and_Herzegovina,2012,Bosnia and Herzegovina,5,0,0
2012Botswana,2012,Botswana,1,2,0
2012Brazil,2012,Brazil,186,61,5
2012Bulgaria,2012,Bulgaria,7,4,7
2012Cameroon,2012,Cameroon,1,0,0
2012Canada,2012,Canada,94,7,2
2012China,2012,China,222,105,8
2012Colombia,2012,Colombia,5,1,0
2012Croatia,2012,Croatia,16,3,1
2012Dominica,2012,Dominica,1,0,0
2012Dominican_Republic,2012,Dominican Republic,1,0,0
2012Egypt,2012,Egypt,24,6,0
2012El_Salvador,2012,El Salvador,1,0,0
2012Estonia,2012,Estonia,0,1,0
2012Ethiopia,2012,Ethiopia,2,1,0
2012Fiji,2012,Fiji,1,1,0
2012Georgia,2012,Georgia,1,1,0
2012Ghana,2012,Ghana,1,0,0
2012Haiti,2012,Haiti,1,0,0
2012India,2012,India,1390,134,20
2012Indonesia,2012,Indonesia,2,0,0
2012Iran,2012,Iran,8,2,0
2012Iraq,2012,Iraq,2,0,0
2012Israel,2012,Israel,45,3,0
2012Jamaica,2012,Jamaica,0,1,0
2012Japan,2012,Japan,45,5,1
2012Jordan,2012,Jordan,9,3,1
2012Kazakhstan,2012,Kazakhstan,4,0,1
2012Kenya,2012,Kenya,4,0,0
2012Kuwait,2012,Kuwait,1,0,0
2012Kyrgyzstan,2012,Kyrgyzstan,2,0,0
2012Latvia,2012,Latvia,0,2,0
2012Lebanon,2012,Lebanon,12,1,0
2012Libya,2012,Libya,3,0,0
2012Malawi,2012,Malawi,3,0,0
2012Malaysia,2012,Malaysia,109,15,3
2012Mauritania,2012,Mauritania,0,5,0
2012Mauritius,2012,Mauritius,13,41,1
2012Mexico,2012,Mexico,8,5,3
2012Moldova,2012,Moldova,27,2,0
2012Mongolia,2012,Mongolia,1,4,0
2012Morocco,2012,Morocco,10,4,0
2012Myanmar,2012,Myanmar,1,1,1
2012Nepal,2012,Nepal,10,3,0
2012New_Zealand,2012,New Zealand,28,4,0
2012Nicaragua,2012,Nicaragua,0,1,0
2012Niger,2012,Niger,0,1,0
2012Nigeria,2012,Nigeria,32,7,0
2012North_Korea,2012,North Korea,1,1,0
2012North_Macedonia,2012,North Macedonia,2,0,0
2012Oman,2012,Oman,1,0,0
2012Others,2012,Others,1,4,0
2012Pakistan,2012,Pakistan,71,45,1
2012Peru,2012,Peru,1,0,0
2012Philippines,2012,Philippines,307,50,10
2012Romania,2012,Romania,210,112,161
2012Russia,2012,Russia,54,11,2
2012Serbia,2012,Serbia,16,3,0
2012Singapore,2012,Singapore,7,0,0
2012South_Africa,2012,South Africa,80,24,5
2012South_Korea,2012,South Korea,24,2,1
2012Sri_Lanka,2012,Sri Lanka,12,5,0
2012State_of_Palestine,2012,State of Palestine,2,1,0
2012Sudan,2012,Sudan,2,0,0
2012Syria,2012,Syria,6,1,0
2012Tanzania,2012,Tanzania,1,0,0
2012Thailand,2012,Thailand,21,27,2
2012Trinidad_and_Tobago,2012,Trinidad and Tobago,8,0,0
2012Tunisia,2012,Tunisia,1,2,0
2012Turkey,2012,Turkey,77,6,1
2012Turkmenistan,2012,Turkmenistan,1,0,0
2012Uganda,2012,Uganda,3,0,0
2012Ukraine,2012,Ukraine,91,16,1
2012United_Arab_Emirates,2012,United Arab Emirates,2,0,0
2012United_States,2012,United States,530,36,2
2012Uruguay,2012,Uruguay,2,0,0
2012Venezuela,2012,Venezuela,1,1,0
2012Vietnam,2012,Vietnam,3,1,0
2012Zambia,2012,Zambia,2,0,1
2012Zimbabwe,2012,Zimbabwe,9,4,1
