Year,Country,Issued,Refused,Withdrawn
2015,Afghanistan,1,0,0
2015,Albania,7,3,0
2015,Algeria,3,0,0
2015,Andorra,2,0,0
2015,Angola,2,0,0
2015,Argentina,44,5,1
2015,Armenia,4,0,0
2015,Australia,86,17,6
2015,Azerbaijan,4,0,1
2015,Bahrain,5,1,0
2015,Bangladesh,22,9,2
2015,Belarus,13,0,1
2015,Bolivia,3,0,0
2015,Bosnia and Herzegovina,7,2,0
2015,Botswana,11,0,0
2015,Brazil,309,71,13
2015,Cameroon,2,0,0
2015,Canada,162,12,2
2015,Chile,6,5,0
2015,China,243,73,4
2015,Colombia,7,1,1
2015,Congo,0,0,1
2015,Costa Rica,1,0,0
2015,Cuba,1,0,0
2015,DR Congo,1,0,0
2015,Dominican Republic,3,0,0
2015,Ecuador,3,0,0
2015,Egypt,161,15,3
2015,Eritrea,1,0,0
2015,Ethiopia,2,1,0
2015,Georgia,2,1,0
2015,Ghana,8,2,0
2015,Guatemala,3,0,0
2015,Guyana,1,0,0
2015,Honduras,1,0,0
2015,India,2112,159,31
2015,Indonesia,6,2,0
2015,Iran,15,2,2
2015,Iraq,29,3,1
2015,Israel,228,0,9
2015,Jamaica,2,1,0
2015,Japan,107,9,2
2015,Jordan,31,3,0
2015,Kazakhstan,8,0,0
2015,Kenya,8,0,1
2015,Kuwait,6,0,0
2015,Latvia,1,0,0
2015,Lebanon,36,2,0
2015,Libya,6,0,0
2015,Malawi,2,0,0
2015,Malaysia,203,49,9
2015,Mauritania,1,1,0
2015,Mauritius,65,38,0
2015,Mexico,18,10,1
2015,Moldova,1,2,0
2015,Mongolia,1,0,0
2015,Morocco,8,0,0
2015,Myanmar,1,0,0
2015,Nepal,10,7,0
2015,New Zealand,40,12,2
2015,Nicaragua,0,1,0
2015,Nigeria,141,9,3
2015,North Macedonia,5,7,0
2015,Oman,2,0,0
2015,Pakistan,952,51,19
2015,Panama,1,0,0
2015,Papua New Guinea,1,0,0
2015,Paraguay,0,1,0
2015,Peru,6,1,0
2015,Philippines,145,27,3
2015,Russia,215,8,6
2015,Rwanda,1,0,0
2015,Saint Kitts & Nevis,2,0,0
2015,Saudi Arabia,3,2,0
2015,Senegal,0,1,0
2015,Serbia,28,3,0
2015,Singapore,23,0,0
2015,Somalia,2,0,0
2015,South Africa,126,25,6
2015,South Korea,28,7,1
2015,Sri Lanka,57,3,1
2015,State of Palestine,4,2,0
2015,Sudan,268,16,6
2015,Syria,20,0,1
2015,Tanzania,2,0,0
2015,Thailand,18,8,0
2015,Trinidad and Tobago,13,0,1
2015,Tunisia,7,0,0
2015,Turkey,158,10,12
2015,Turkmenistan,1,0,0
2015,Uganda,4,0,0
2015,Ukraine,140,11,2
2015,United Arab Emirates,7,1,0
2015,United Kingdom,0,1,0
2015,United States,715,60,11
2015,Uzbekistan,5,0,0
2015,Venezuela,55,19,1
2015,Vietnam,9,3,0
2015,Yemen,1,0,0
2015,Zambia,3,2,0
2015,Zimbabwe,9,0,0
